Files already downloaded and verified
Files already downloaded and verified
Classifier output dim:  100
num params: 11789612
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
loss_mse:  tensor(0.1089, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1229, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1631, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1661, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1445, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1207, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1360, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1782, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1377, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1316, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1333, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1553, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1216, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1428, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1330, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1560, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1085, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1465, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1229, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1326, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1588, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1385, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1106, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1681, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1108, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1222, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1089, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1277, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1276, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1514, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1097, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1550, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1305, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1318, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1078, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1074, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1370, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1317, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1075, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1539, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1408, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1212, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1190, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1828, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1274, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1240, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1608, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1003, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1155, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1412, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1079, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1197, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1043, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1310, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1356, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1133, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0992, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1199, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0965, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1580, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1290, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1033, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1339, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1298, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1024, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1116, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1090, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1264, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1151, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1574, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1009, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0905, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1064, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1020, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1058, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1183, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1264, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1271, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0892, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1133, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1178, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1069, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0987, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1097, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1144, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0818, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1326, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1323, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1199, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1014, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1287, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1078, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0917, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0972, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1253, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1113, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0993, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1121, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1244, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1024, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1038, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0984, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0773, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0973, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1158, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1001, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1185, device='cuda:0', grad_fn=<MulBackward0>)
| Epoch   1, time= 18.1s | Train: skip eval | Valid: time=  0.3s loss=1.892, TAw acc=  0.0% |
loss_mse:  tensor(0.1199, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0967, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1022, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1225, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1002, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0922, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1030, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1215, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1150, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1216, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1023, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0997, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0960, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1035, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1297, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0975, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0828, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1047, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1106, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1042, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1026, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1175, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0898, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1115, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1044, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0977, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0974, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0921, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0865, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0931, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1028, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0970, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1022, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0964, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0807, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0971, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0856, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1178, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1120, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0937, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0920, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0781, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1232, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0910, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1243, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0939, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0917, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1097, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0844, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1048, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1283, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1274, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1223, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1123, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1117, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1050, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0875, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0728, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1129, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1036, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0998, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1092, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1012, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1150, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0798, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0934, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0904, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1356, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0959, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0995, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1005, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0979, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1140, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1092, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0860, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0936, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0905, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1047, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1108, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1025, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0859, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0961, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1105, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0986, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1181, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1076, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1057, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0826, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0837, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0845, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0842, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0933, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0969, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1036, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1077, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0835, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0883, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0957, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1285, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1011, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1082, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0950, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0927, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1070, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1108, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1041, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0937, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0952, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0836, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0968, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0882, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1183, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1144, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0961, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1118, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1041, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0906, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0853, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0879, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0827, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1000, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0977, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0974, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0837, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0910, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1161, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0887, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1034, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0979, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0958, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0897, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0868, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1016, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0781, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0918, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1312, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1278, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0708, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0913, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1193, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0894, device='cuda:0', grad_fn=<MulBackward0>)
| Epoch   2, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.813, TAw acc=  0.0% |
loss_mse:  tensor(0.1044, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1329, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1257, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0946, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1432, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1053, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0963, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1006, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0984, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0989, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0996, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1040, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1086, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1064, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1005, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0773, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1061, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0811, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1089, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0706, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0906, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1045, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1148, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1019, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0711, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1158, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0909, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0962, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0876, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0896, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0739, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0869, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1050, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0912, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0764, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1018, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1027, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1011, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0998, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0851, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1016, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0771, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0877, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0760, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0741, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0874, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0917, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0851, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0811, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1020, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0884, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0794, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0840, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0889, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0911, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1077, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0796, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.0853, device='cuda:0', grad_fn=<MulBackward0>)
